r,w,precision@w-1,precision@1,triplet
1,2,0.6666666666666666,0.6666666666666666,0.9333333333333332
1,3,0.27777777777777773,0.2222222222222222,0.8555555555555555
1,4,0.47222222222222227,0.4166666666666667,0.7148148148148149
1,5,0.6333333333333334,0.6666666666666666,0.8788888888888889
2,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
2,3,0.8333333333333334,0.888888888888889,0.9722222222222223
2,4,0.9166666666666666,1.0,0.9891975308641975
2,5,0.4666666666666666,0.4666666666666666,0.6885964912280702
3,2,0.2222222222222222,0.2222222222222222,0.5947712418300654
3,3,0.5555555555555556,0.5925925925925927,0.8187134502923977
3,4,0.6666666666666665,0.75,0.8527336860670194
3,5,0.5111111111111111,0.5555555555555556,0.6845410628019324
4,2,0.2916666666666667,0.2916666666666667,0.5925925925925926
4,3,0.5277777777777778,0.611111111111111,0.8161375661375662
4,4,0.40277777777777773,0.4791666666666667,0.6206597222222222
4,5,0.3416666666666666,0.43333333333333335,0.6273148148148149
5,2,0.4666666666666666,0.4666666666666666,0.7842105263157895
5,3,0.5666666666666667,0.6,0.8570048309178745
5,4,0.1944444444444445,0.20000000000000004,0.4753086419753087
5,5,0.2866666666666667,0.3466666666666667,0.5721505376344086
6,2,0.4166666666666667,0.4166666666666667,0.6555555555555556
6,3,0.1574074074074074,0.24074074074074073,0.5007407407407408
6,4,0.4398148148148148,0.5,0.6939814814814814
6,5,0.20555555555555557,0.25555555555555554,0.5146031746031746
7,2,0.2619047619047619,0.2619047619047619,0.6179138321995464
7,3,0.2857142857142857,0.38095238095238093,0.6234567901234568
7,4,0.1706349206349206,0.19047619047619047,0.5283790283790285
7,5,0.24047619047619048,0.3333333333333333,0.6156288156288157
8,2,0.2916666666666667,0.2916666666666667,0.6429924242424242
8,3,0.24305555555555558,0.2638888888888889,0.5510057471264368
8,4,0.19097222222222224,0.2604166666666667,0.5825617283950617
8,5,0.16874999999999998,0.21666666666666667,0.5188468992248061
9,2,0.27777777777777773,0.27777777777777773,0.6553945249597424
9,3,0.15432098765432098,0.13580246913580246,0.4834727200318598
9,4,0.16666666666666663,0.19444444444444445,0.5894270338714783
9,5,0.15555555555555556,0.20000000000000004,0.531678486997636
10,2,0.13333333333333333,0.13333333333333333,0.5201388888888889
10,3,0.2222222222222222,0.24444444444444446,0.5622895622895623
10,4,0.0861111111111111,0.09999999999999999,0.49953703703703706
10,5,0.1433333333333333,0.20666666666666667,0.49647058823529405
