r,w,precision@w-1,precision@1,triplet
1,2,0.0625,0.0625,0.9833333333333334
1,3,0.1176470588235294,0.1176470588235294,0.8861111111111111
1,4,0.16666666666666666,0.16666666666666666,0.9569444444444445
2,2,0.058823529411764705,0.058823529411764705,0.95703125
2,3,0.10526315789473684,0.10526315789473684,0.9509803921568627
2,4,0.14285714285714282,0.14285714285714282,0.8686342592592593
3,2,0.05555555555555556,0.05555555555555556,0.9877450980392157
3,3,0.09523809523809523,0.09523809523809523,0.9144736842105263
3,4,0.125,0.125,0.8531746031746034
4,2,0.05263157894736842,0.05263157894736842,0.9149305555555556
4,3,0.08695652173913042,0.08695652173913042,0.9479166666666667
4,4,0.11111111111111115,0.11111111111111115,0.9750434027777778
5,2,0.049999999999999996,0.049999999999999996,0.7657894736842105
5,3,0.08,0.08,0.8822463768115942
5,4,0.10000000000000002,0.10000000000000002,0.9266975308641975
6,2,0.047619047619047616,0.047619047619047616,0.8895833333333333
6,3,0.07407407407407406,0.07407407407407406,0.9413888888888889
6,4,0.09090909090909088,0.09090909090909088,0.9420138888888889
7,2,0.045454545454545456,0.045454545454545456,0.875
7,3,0.0689655172413793,0.0689655172413793,0.9287918871252203
7,4,0.08333333333333333,0.08333333333333333,0.9773629148629148
