r,w,precision@w-1,precision@1,triplet
1,2,0.0,0.0,0.0
1,3,0.0,0.0,0.0
1,4,0.16666666666666666,0.0,0.0
1,5,0.21666666666666667,0.26666666666666666,0.0
2,2,0.0,0.0,0.0
2,3,0.27777777777777773,0.2222222222222222,0.0
2,4,0.125,0.0,0.0
2,5,0.06666666666666667,0.0,0.0
3,2,0.0,0.0,0.0
3,3,0.1111111111111111,0.0,0.0
3,4,0.1574074074074074,0.16666666666666666,0.0
3,5,0.20000000000000004,0.17777777777777778,0.0
4,2,0.08333333333333333,0.08333333333333333,0.0
4,3,0.13888888888888887,0.16666666666666666,0.0
4,4,0.12499999999999999,0.0,0.0
4,5,0.09999999999999999,0.13333333333333333,0.0
5,2,0.06666666666666667,0.06666666666666667,0.0
5,3,0.08888888888888889,0.13333333333333333,0.0
5,4,0.12222222222222222,0.15,0.0
5,5,0.12,0.16,0.0
6,2,0.0,0.0,0.0
6,3,0.018518518518518517,0.0,0.0
6,4,0.08333333333333333,0.08333333333333333,0.0
6,5,0.11388888888888889,0.13333333333333333,0.0
7,2,0.047619047619047616,0.047619047619047616,0.0
7,3,0.09523809523809523,0.09523809523809523,0.0
7,4,0.10317460317460318,0.10714285714285714,0.0
7,5,0.09761904761904762,0.11428571428571428,0.0
8,2,0.020833333333333332,0.020833333333333332,0.0
8,3,0.06944444444444443,0.08333333333333333,0.0
8,4,0.05555555555555555,0.0625,0.0
8,5,0.07083333333333335,0.10000000000000002,0.0
9,2,0.037037037037037035,0.037037037037037035,0.0
9,3,0.06172839506172839,0.04938271604938271,0.0
9,4,0.08641975308641975,0.08333333333333333,0.0
9,5,0.08148148148148149,0.05925925925925926,0.0
10,2,0.05000000000000001,0.05000000000000001,0.0
10,3,0.06666666666666667,0.06666666666666667,0.0
10,4,0.05833333333333333,0.049999999999999996,0.0
10,5,0.06166666666666667,0.05333333333333334,0.0
