r,w,precision@w-1,precision@1,triplet
1,2,1.0,1.0,1.0
1,3,1.0,1.0,1.0
1,4,0.5,0.5,0.7142857142857143
1,5,1.0,1.0,1.0
1,6,0.7,0.6666666666666666,0.7928571428571427
2,2,1.0,1.0,1.0
2,3,0.75,0.75,0.837962962962963
2,4,0.5,0.5,0.675
2,5,0.25,0.25,0.5909090909090909
2,6,0.7833333333333334,0.75,0.9152777777777777
3,2,1.0,1.0,1.0
3,3,0.5,0.5,0.7601010101010102
3,4,1.0,1.0,1.0
3,5,0.625,0.5,0.72
3,6,0.8222222222222222,0.8611111111111112,0.950653594771242
4,2,0.375,0.375,0.6499999999999999
4,3,0.625,0.625,0.7596153846153846
4,4,0.75,0.75,0.8671875
4,5,0.625,0.625,0.7858552631578948
4,6,0.9000000000000001,0.875,0.9765151515151514
5,2,0.5,0.5,0.75
5,3,0.5,0.4,0.7344444444444445
5,4,0.3583333333333333,0.325,0.687280701754386
5,5,0.625,0.6000000000000001,0.8213043478260869
5,6,0.6333333333333333,0.5833333333333333,0.7779012345679013
