r,w,precision@w-1,precision@1,triplet
1,2,0.75,0.75,0.8571428571428572
1,3,0.3333333333333333,0.25,0.5833333333333334
1,4,0.7083333333333333,0.75,0.7767857142857143
2,2,0.875,0.875,0.8984375
2,3,0.5,0.5,0.7291666666666667
2,4,0.75,0.75,0.8375
3,2,0.5,0.5,0.6388888888888888
3,3,0.7638888888888888,0.75,0.8598484848484849
3,4,0.8958333333333333,0.9166666666666666,0.9540598290598291
4,2,0.4375,0.4375,0.671875
4,3,0.59375,0.5625,0.7427884615384617
4,4,0.4635416666666667,0.421875,0.6907552083333333
5,2,0.55,0.55,0.7227272727272727
5,3,0.5083333333333333,0.5,0.7622222222222224
5,4,0.5666666666666668,0.55,0.7567982456140351
