r,w,precision@w-1,precision@1
1,2,0.5,0.5
1,3,1.0,1.0
1,4,0.9166666666666666,1.0
1,5,0.5,0.5
1,6,1.0,1.0
1,7,0.5,0.5
1,8,1.0,1.0
1,9,1.0,1.0
1,10,1.0,1.0
1,11,1.0,1.0
1,12,1.0,1.0
1,13,1.0,1.0
1,14,0.9972527472527473,1.0
1,15,1.0,1.0
2,2,0.75,0.75
2,3,0.3333333333333333,0.25
2,4,0.75,0.75
2,5,0.75,0.75
2,6,0.6916666666666667,0.625
2,7,0.8988095238095237,0.7857142857142857
2,8,1.0,1.0
2,9,0.7222222222222222,0.75
2,10,0.9666666666666666,1.0
2,11,1.0,1.0
2,12,0.9772727272727274,0.9791666666666667
2,13,0.75,0.75
2,14,0.7129120879120879,0.7142857142857143
2,15,0.7714285714285715,0.75
3,2,0.6666666666666666,0.6666666666666666
3,3,0.5,0.5
3,4,0.7777777777777777,0.6666666666666666
3,5,0.5,0.5
3,6,0.5833333333333333,0.5
3,7,0.7341269841269842,0.6666666666666666
3,8,0.8869047619047621,0.8333333333333334
3,9,0.6342592592592593,0.5
3,10,0.6481481481481481,0.5
3,11,0.7772727272727273,0.6060606060606061
3,12,0.4886363636363636,0.38888888888888884
3,13,0.4700854700854701,0.21794871794871795
3,14,0.8003663003663004,0.6785714285714286
3,15,0.8261904761904761,0.8
4,2,0.5,0.5
4,3,0.5,0.5
4,4,0.5,0.40625
4,5,0.675,0.65
4,6,0.6625000000000001,0.5625
4,7,0.5267857142857143,0.5
4,8,0.875,0.875
4,9,0.625,0.625
4,10,0.5875,0.4125
4,11,0.7784090909090908,0.6590909090909092
4,12,0.7083333333333334,0.5
4,13,0.7291666666666667,0.625
4,14,0.6243131868131868,0.6160714285714286
4,15,0.4351190476190476,0.3833333333333333
5,2,0.4,0.4
5,3,0.5666666666666667,0.5333333333333333
5,4,0.6000000000000001,0.6000000000000001
5,5,0.5,0.4
5,6,0.6800000000000002,0.6000000000000001
5,7,0.5666666666666667,0.4714285714285714
5,8,0.49107142857142855,0.3875
5,9,0.8666666666666667,0.8333333333333334
5,10,0.7733333333333333,0.74
5,11,0.7672727272727273,0.6818181818181819
5,12,0.44999999999999996,0.30000000000000004
5,13,0.5935897435897436,0.5153846153846154
5,14,0.6076923076923078,0.41428571428571426
5,15,0.4652380952380951,0.31333333333333335
