log_name,method,I_comp,I_nn,I_prec,I_tri
BPIC12,Activity-Activitiy Co Occurrence Bag Of Words PMI w_3,0.9189,0.8757,0.8752,0.9429
BPIC12,Activity-Activitiy Co Occurrence Bag Of Words PMI w_5,0.8665,0.7747,0.7403,0.8936
BPIC12,Activity-Activitiy Co Occurrence Bag Of Words PMI w_9,0.8016,0.6557,0.6405,0.8674
BPIC12,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_3,0.8937,0.8676,0.8654,0.9394
BPIC12,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_5,0.7782,0.7386,0.7101,0.8844
BPIC12,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_9,0.6553,0.6092,0.5904,0.8386
BPIC12,Activity-Activitiy Co Occurrence Bag Of Words w_3,0.8106,0.7369,0.7126,0.9227
BPIC12,Activity-Activitiy Co Occurrence Bag Of Words w_5,0.6355,0.6568,0.6232,0.8712
BPIC12,Activity-Activitiy Co Occurrence Bag Of Words w_9,0.5564,0.5659,0.5247,0.8237
BPIC12,Activity-Activitiy Co Occurrence N-Gram PMI w_3,0.9043,0.8762,0.8793,0.9335
BPIC12,Activity-Activitiy Co Occurrence N-Gram PMI w_5,0.8302,0.7776,0.766,0.8692
BPIC12,Activity-Activitiy Co Occurrence N-Gram PMI w_9,0.7863,0.6484,0.6293,0.7429
BPIC12,Activity-Activitiy Co Occurrence N-Gram PPMI w_3,0.8884,0.8649,0.8657,0.9308
BPIC12,Activity-Activitiy Co Occurrence N-Gram PPMI w_5,0.7545,0.736,0.7234,0.8599
BPIC12,Activity-Activitiy Co Occurrence N-Gram PPMI w_9,0.6255,0.6114,0.5937,0.7187
BPIC12,Activity-Activitiy Co Occurrence N-Gram w_3,0.8041,0.7179,0.6868,0.9116
BPIC12,Activity-Activitiy Co Occurrence N-Gram w_5,0.6074,0.692,0.6507,0.8525
BPIC12,Activity-Activitiy Co Occurrence N-Gram w_9,0.5377,0.604,0.5758,0.7915
BPIC12,Activity-Context Bag Of Words PMI w_3,0.744,0.8138,0.8052,0.89
BPIC12,Activity-Context Bag Of Words PMI w_5,0.5884,0.6993,0.6856,0.7928
BPIC12,Activity-Context Bag Of Words PMI w_9,0.4587,0.5934,0.5905,0.6641
BPIC12,Activity-Context Bag Of Words PPMI w_3,0.6283,0.7847,0.7706,0.8841
BPIC12,Activity-Context Bag Of Words PPMI w_5,0.5107,0.6953,0.6814,0.7898
BPIC12,Activity-Context Bag Of Words PPMI w_9,0.4278,0.5921,0.5885,0.6435
BPIC12,Activity-Context Bag Of Words w_3,0.623,0.691,0.6398,0.8734
BPIC12,Activity-Context Bag Of Words w_5,0.5359,0.6639,0.6181,0.8034
BPIC12,Activity-Context Bag Of Words w_9,0.5237,0.6216,0.5985,0.6879
BPIC12,Activity-Context N-Grams PMI w_3,0.7233,0.8172,0.8113,0.8903
BPIC12,Activity-Context N-Grams PMI w_5,0.5584,0.7476,0.7386,0.8046
BPIC12,Activity-Context N-Grams PMI w_9,0.4293,0.6634,0.6561,0.6756
BPIC12,Activity-Context N-Grams PPMI w_3,0.6115,0.7862,0.7703,0.8848
BPIC12,Activity-Context N-Grams PPMI w_5,0.4891,0.7399,0.7258,0.804
BPIC12,Activity-Context N-Grams PPMI w_9,0.4034,0.6633,0.6561,0.691
BPIC12,Activity-Context N-Grams w_3,0.6226,0.702,0.6612,0.8748
