r,w,precision@w-1,precision@1
1,2,0.6,0.6
1,3,0.7333333333333333,0.7333333333333333
1,4,0.9833333333333332,1.0
1,5,0.9,1.0
1,6,0.6866666666666666,0.8
1,7,0.7571428571428571,0.8
1,8,0.36785714285714277,0.35
1,9,0.95,0.9555555555555555
1,10,0.8466666666666667,0.8400000000000001
1,11,0.6763636363636365,0.8181818181818181
1,12,0.5893939393939395,0.7
1,13,0.5628205128205128,0.6923076923076923
1,14,0.410989010989011,0.37142857142857144
1,15,0.3666666666666667,0.36000000000000004
1,16,0.40742424242424236,0.4943181818181818
1,17,0.24632352941176472,0.2235294117647059
1,18,0.21830065359477127,0.22483660130718955
1,19,0.2543859649122807,0.27368421052631575
1,20,0.2135294117647059,0.20058823529411765
1,21,0.21106442577030818,0.22072829131652663
1,22,0.15108225108225107,0.16363636363636364
1,23,0.16205533596837945,0.13913043478260873
1,24,0.15181159420289853,0.18333333333333335
1,25,0.139,0.128
1,26,0.12215384615384614,0.16923076923076924
1,27,0.11253561253561253,0.2
1,28,0.11534391534391535,0.13571428571428573
1,29,0.10689655172413795,0.13793103448275862
1,30,0.09770114942528735,0.10666666666666666
1,31,0.08623655913978494,0.12258064516129033
1,32,0.08266129032258066,0.0875
1,33,0.07443181818181818,0.09696969696969697
1,34,0.07754010695187165,0.11764705882352941
1,35,0.06352941176470589,0.11428571428571428
1,36,0.06539682539682541,0.09444444444444446
1,37,0.06441441441441442,0.08108108108108109
1,38,0.058748221906116636,0.07894736842105263
1,39,0.052226720647773284,0.041025641025641026
1,40,0.05705128205128206,0.034999999999999996
1,41,0.04975609756097562,0.04390243902439025
1,42,0.05005807200929152,0.047619047619047616
1,43,0.04396456256921373,0.046511627906976744
1,44,0.04735729386892176,0.06363636363636363
1,45,0.04424242424242424,0.06222222222222222
1,46,0.03990338164251207,0.043478260869565216
1,47,0.03857539315448658,0.034042553191489355
1,48,0.0377659574468085,0.04583333333333333
1,49,0.06410791589363019,0.17996289424860853
1,50,0.03322448979591837,0.048
2,2,0.6,0.6
2,3,0.9833333333333332,1.0
2,4,0.7083333333333333,0.7
2,5,0.765,0.76
2,6,0.6033333333333334,0.6666666666666667
