r,w,precision@w-1,precision@1
1,2,0.5,0.5
1,3,0.7333333333333334,0.9333333333333332
1,4,0.6666666666666666,0.9
1,5,0.4666666666666666,0.27999999999999997
1,6,0.4666666666666666,0.5
1,7,0.638095238095238,0.6857142857142857
1,8,0.4392857142857142,0.425
1,9,0.6361111111111111,0.8222222222222222
1,10,0.4455555555555556,0.67
1,11,0.6981818181818182,0.8181818181818181
1,12,0.23878787878787883,0.2966666666666667
1,13,0.23974358974358972,0.2615384615384616
1,14,0.3758241758241759,0.3
1,15,0.25142857142857145,0.3694871794871795
1,16,0.28500000000000003,0.3625
1,17,0.18639705882352942,0.34117647058823525
1,18,0.05980392156862746,0.43888888888888894
1,19,0.17836257309941522,0.25263157894736843
1,20,0.13052631578947368,0.09999999999999999
1,21,0.08952882205513785,0.11829573934837093
1,22,0.06277056277056277,0.01818181818181818
1,23,0.06936758893280634,0.017391304347826087
1,24,0.02976190476190476,0.0869047619047619
1,25,0.04465277777777778,0.20600000000000002
1,26,0.08199190283400808,0.07773279352226721
1,27,0.05711631363805277,0.1037037037037037
1,28,0.04679290819641697,0.13020050125313282
1,29,0.04496833216045039,0.0896551724137931
1,30,0.05057471264367815,0.2
2,2,0.4833333333333333,0.4833333333333333
2,3,0.7666666666666666,0.7833333333333333
2,4,0.5190476190476191,0.5071428571428571
2,5,0.7700000000000001,0.78
2,6,0.6463492063492063,0.7261904761904762
2,7,0.5242063492063492,0.6035714285714285
2,8,0.6547619047619048,0.7152777777777778
2,9,0.6396212121212121,0.5802020202020202
2,10,0.6461616161616162,0.5381818181818183
2,11,0.42878787878787883,0.36262626262626263
2,12,0.46418414918414924,0.315989010989011
2,13,0.4704395604395605,0.35238095238095235
2,14,0.4070818070818071,0.3700577200577201
2,15,0.27285714285714285,0.36666666666666664
2,16,0.30328431372549014,0.33932072829131654
2,17,0.19284125188536955,0.3379788838612368
2,18,0.18398464280817223,0.2221056721056721
2,19,0.1262113394001939,0.07151702786377709
2,20,0.10746867167919798,0.19523809523809527
2,21,0.15388951628082065,0.18925277620929798
2,22,0.1518134996540312,0.22185140440954396
2,23,0.07328626988953077,0.18267140468227425
2,24,0.06981270903010033,0.21704487179487178
2,25,0.06487853268735623,0.15319840943370355
2,26,0.07867947603444561,0.13316690071253964
2,27,0.05017094017094017,0.22678787878787876
2,28,0.058062886933854675,0.20624633431085043
2,29,0.0916808765946697,0.12449160035366932
2,30,0.054987696767452056,0.10822790113112694
3,2,0.7266666666666667,0.7266666666666667
3,3,0.8571428571428571,0.8761904761904761
3,4,0.7262962962962962,0.7155555555555556
3,5,0.7612121212121211,0.8024242424242425
3,6,0.3288888888888889,0.42666666666666664
3,7,0.6320005897095681,0.6581129293822792
3,8,0.3889355742296918,0.32254901960784316
3,9,0.48463574773285867,0.5175413170607678
3,10,0.7241481481481482,0.8053333333333332
3,11,0.30932773109243694,0.2712885154061625
3,12,0.48484848484848486,0.5019036519036518
3,13,0.3923172313797314,0.473992673992674
3,14,0.35183895822383027,0.35586100958737227
3,15,0.30802852754004817,0.39864720942140297
3,16,0.21321105794790002,0.24035087719298248
3,17,0.25493629605121765,0.20621839899555466
3,18,0.1650469354454174,0.204926424281263
3,19,0.20271132376395537,0.2616843492129533
3,20,0.10784417238339901,0.23525359079802133
3,21,0.16301404409543946,0.1829907043860532
3,22,0.08670531727269316,0.16627659574468084
3,23,0.12472957167552627,0.14981524421917353
3,24,0.08482627928814672,0.16725809449462845
3,25,0.0685347016710011,0.16245708905030937
3,26,0.09113778898696932,0.15508578852841148
3,27,0.04177753870061562,0.18995670995670993
3,28,0.08056643747700656,0.1344734939856891
3,29,0.08471400418963683,0.147788764581729
3,30,0.07420866714804313,0.2214016025291515
4,2,0.6285714285714286,0.6285714285714286
4,3,0.4866666666666667,0.5233333333333333
4,4,0.6098484848484848,0.5852272727272727
4,5,0.5965126050420168,0.5194957983193277
4,6,0.7357857142857143,0.809047619047619
4,7,0.7088492063492062,0.7297619047619047
4,8,0.5587225274725274,0.5394230769230769
4,9,0.4936469534050179,0.5757347670250896
4,10,0.6175632511068944,0.6792670777988615
4,11,0.530579831932773,0.5881979458450047
4,12,0.34973720086704296,0.44976087996174074
4,13,0.3342425848747236,0.36271049550574225
4,14,0.36111655983169455,0.2814944433110109
4,15,0.22208723778645983,0.3290538100735992
4,16,0.2662022172853815,0.2660145744121403
4,17,0.23309279121005128,0.26122823398365197
4,18,0.20109625668449196,0.28225589225589226
4,19,0.16640895160517194,0.14412351126843598
4,20,0.13652142910594361,0.1511681641694158
4,21,0.13621013013901212,0.22264537119195502
4,22,0.12768227653152114,0.23482208075674352
4,23,0.11583987419872295,0.20491738523581757
4,24,0.10322480854789313,0.14153061175210074
4,25,0.049569754252313296,0.10463842347891479
4,26,0.08980635236453612,0.17014630015904192
4,27,0.09679906282241094,0.18378907188309335
4,28,0.08236765331930983,0.14820824881676808
4,29,0.06373632271818082,0.1425033182450842
4,30,0.05972520282914919,0.13525673640749578
5,2,0.6050000000000001,0.6050000000000001
5,3,0.5834615384615385,0.5805128205128205
5,4,0.546557734204793,0.5900653594771242
5,5,0.768952380952381,0.7733333333333334
5,6,0.48530325954239,0.6299764647590734
5,7,0.6857142857142858,0.6661904761904762
5,8,0.7092093200916731,0.5977450980392157
5,9,0.6052139432884538,0.7369951040391677
5,10,0.6944032965395615,0.750558312744058
5,11,0.6105794375160427,0.5466627091506017
5,12,0.4499488460761478,0.548290975964854
5,13,0.29235617533863145,0.3326975558554506
5,14,0.3470305630594842,0.45441255074180553
5,15,0.2853172244558929,0.3569262427609724
5,16,0.251610849248585,0.26400263398376606
5,17,0.1957746208055431,0.2609622079134529
5,18,0.18616350769015172,0.27652429167021186
5,19,0.1287289397391265,0.2270203141510442
